Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\AD18\105848\Pick Place for 105848.csv

========================================================================================================================
File Design Information:

Date:       14/06/18
Time:       15:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","PackageDescription","PackageReference"
"J10","JMP_3PIN","TopLayer","JMP3","6072,000","4290,000","360","JMP_3PIN","",""
"J9","JMP_3PIN","TopLayer","JMP3","6072,000","4805,000","360","JMP_3PIN","",""
"J8","JMP_3PIN","TopLayer","JMP3","6075,000","4925,000","360","JMP_3PIN","",""
"J7","JMP_3PIN","TopLayer","JMP3","6075,000","5435,000","360","JMP_3PIN","",""
"D10","BAS20","TopLayer","SOT-23_M","5630,000","5090,000","270","BAS20","SOT-23",""
"D9","BAS20","TopLayer","SOT-23_M","5630,000","4448,024","270","Diode, SMD","SOT-23",""
"D8","1N4002","TopLayer","DO-214AC","5075,303","1510,000","360","Diode, SMD","SMB",""
"C9","Capacitor - Thru-Hole","TopLayer","CAPR5-4X5","4465,000","1661,024","270","Capacitor TO - 200 SPACING","",""
"Q3","2N7002","TopLayer","SOT-23_M","5633,000","4654,740","90","N-Channel Enhancement Mode FET","SOT-23","SOT-23"
"Q2","2N7002","TopLayer","SOT-23_M","5634,000","5292,740","90","N-Channel Enhancement Mode FET","SOT-23","SOT-23"
"K4","RELAY2","TopLayer","AZ_940","6075,000","5181,000","90","AZ850-5","",""
"K3","RELAY1","TopLayer","AZ_940","6072,000","4550,000","90","AZ850-5","",""
"P2","Metro Mini 328","TopLayer","Adafruit_Metro_Mini","1758,000","878,000","270","Adafruit METRO Mini 328 rev A","",""
"F1","THERMAL FUSE 1A","TopLayer","FUSE_200","5304,000","721,171","180","FUSE_200","",""
"P1","Arduino Uno","TopLayer","ArduinoUno","1400,000","1155,000","0","Arduino Uno","",""
"VR3","MC7805BDT","TopLayer","D2PAK","4753,736","1150,000","360","SMT 5V Linear Voltage Regulator","DPAK-3","DPAK-3"
"C8","1206 Capacitor","TopLayer","RESC1206(3216)_M","4930,000","940,465","180","1206 Ceramic Capacitor","1206","1206"
"C7","1206 Capacitor","TopLayer","RESC1206(3216)_M","4930,000","1358,000","180","1206 Ceramic Capacitor","1206","1206"
"D7","1N4002","TopLayer","DO-214AC","5680,000","1692,303","90","Diode, SMD","SMB",""
"D6","1N4002","TopLayer","DO-214AC","146,000","786,303","90","Diode, SMD","SMB",""
"VR2","MC7812CD","TopLayer","D2PAK","6037,736","1695,000","180","SMT 12V Fixed Output Voltage Regulator","DPAK","DPAK"
